10/17/2015;E;0-0-3-6;09
10/17/2015;M;8-1-1-4;14
10/16/2015;E;4-0-9-1;14
10/16/2015;M;1-5-6-2;14
10/15/2015;E;0-1-4-4;09
10/15/2015;M;8-3-1-0;12
10/14/2015;E;6-4-6-5;21
10/14/2015;M;3-0-4-3;10
10/13/2015;E;3-0-4-2;09
10/13/2015;M;2-6-9-1;18
10/12/2015;E;6-8-5-5;24
10/12/2015;M;1-0-0-8;09
10/11/2015;E;8-0-3-0;11
10/11/2015;M;0-8-0-7;15
10/10/2015;E;5-3-1-7;16
10/10/2015;M;2-3-9-4;18
10/09/2015;E;4-2-4-9;19
10/09/2015;M;2-5-8-6;21
10/08/2015;E;9-0-2-6;17
10/08/2015;M;2-3-6-5;16
10/07/2015;E;5-0-8-8;21
10/07/2015;M;2-0-5-0;07
10/06/2015;E;2-7-6-3;18
10/06/2015;M;1-2-2-1;06
10/05/2015;E;3-8-0-7;18
10/05/2015;M;5-3-5-1;14
10/04/2015;E;7-3-2-8;20
10/04/2015;M;9-6-9-3;27
10/03/2015;E;3-8-0-8;19
10/03/2015;M;4-5-2-4;15
10/02/2015;E;8-9-2-1;20
10/02/2015;M;0-2-9-7;18
10/01/2015;E;1-4-2-7;14
10/01/2015;M;5-9-4-8;26
09/30/2015;E;0-8-5-6;19
09/30/2015;M;8-6-6-2;22
09/29/2015;E;9-4-2-7;22
09/29/2015;M;9-9-3-7;28
09/28/2015;E;0-6-6-0;12
09/28/2015;M;2-6-1-5;14
09/27/2015;E;1-0-1-1;03
09/27/2015;M;1-0-5-3;09
09/26/2015;E;5-0-6-8;19
09/26/2015;M;3-0-5-1;09
09/25/2015;E;2-5-4-6;17
09/25/2015;M;5-1-0-9;15
09/24/2015;E;3-8-8-7;26
09/24/2015;M;7-4-2-0;13
09/23/2015;E;7-9-2-3;21
09/23/2015;M;3-8-6-0;17
09/22/2015;E;5-5-7-6;23
09/22/2015;M;6-2-2-9;19
09/21/2015;E;0-6-0-9;15
09/21/2015;M;2-5-7-4;18
09/20/2015;E;5-6-6-5;22
09/20/2015;M;2-2-3-5;12
09/19/2015;E;8-7-2-5;22
09/19/2015;M;5-7-3-3;18
09/18/2015;E;9-7-3-6;25
09/18/2015;M;2-9-9-7;27
09/17/2015;E;9-8-4-7;28
09/17/2015;M;4-2-5-9;20
09/16/2015;E;7-2-0-0;09
09/16/2015;M;0-8-3-9;20
09/15/2015;E;3-7-2-8;20
09/15/2015;M;7-0-0-0;07
09/14/2015;E;7-9-1-3;20
09/14/2015;M;9-3-3-5;20
09/13/2015;E;9-7-1-9;26
09/13/2015;M;2-8-7-7;24
09/12/2015;E;6-4-8-4;22
09/12/2015;M;3-2-0-9;14
09/11/2015;E;1-9-4-1;15
09/11/2015;M;0-5-6-6;17
09/10/2015;E;9-1-9-2;21
09/10/2015;M;9-1-1-7;18
09/09/2015;E;9-3-8-5;25
09/09/2015;M;9-3-3-3;18
09/08/2015;E;8-4-9-2;23
09/08/2015;M;0-4-1-5;10
09/07/2015;E;1-6-4-1;12
09/07/2015;M;7-4-5-6;22
09/06/2015;E;9-2-0-3;14
09/06/2015;M;2-0-4-2;08
09/05/2015;E;2-1-1-4;08
09/05/2015;M;1-3-2-4;10
09/04/2015;E;0-9-3-5;17
09/04/2015;M;2-0-0-2;04
09/03/2015;E;5-0-0-2;07
09/03/2015;M;0-8-6-4;18
09/02/2015;E;0-9-5-5;19
09/02/2015;M;8-7-1-2;18
09/01/2015;E;0-3-2-8;13
09/01/2015;M;5-1-1-2;09
08/31/2015;E;8-6-5-8;27
08/31/2015;M;6-0-6-3;15
08/30/2015;E;5-0-4-9;18
08/30/2015;M;3-7-7-0;17
08/29/2015;E;4-1-5-1;11
08/29/2015;M;6-0-7-0;13
08/28/2015;E;2-5-3-9;19
08/28/2015;M;1-8-9-1;19
08/27/2015;E;9-4-1-1;15
08/27/2015;M;9-2-6-7;24
08/26/2015;E;2-8-6-9;25
08/26/2015;M;6-2-1-7;16
08/25/2015;E;2-8-7-6;23
08/25/2015;M;1-3-6-6;16
08/24/2015;E;1-7-7-3;18
08/24/2015;M;5-2-2-1;10
08/23/2015;E;9-9-8-4;30
08/23/2015;M;2-4-6-7;19
08/22/2015;E;1-7-7-1;16
08/22/2015;M;0-6-8-5;19
08/21/2015;E;6-2-6-9;23
08/21/2015;M;1-9-7-4;21
08/20/2015;E;5-6-1-5;17
08/20/2015;M;2-2-7-0;11
08/19/2015;E;0-1-7-8;16
08/19/2015;M;4-6-9-7;26
08/18/2015;E;2-4-6-4;16
08/18/2015;M;6-2-5-3;16
08/17/2015;E;2-8-5-0;15
08/17/2015;M;5-4-2-9;20
08/16/2015;E;7-1-2-6;16
08/16/2015;M;7-0-1-5;13
08/15/2015;E;7-2-6-2;17
08/15/2015;M;4-7-0-8;19
08/14/2015;E;3-2-3-2;10
08/14/2015;M;2-4-8-5;19
08/13/2015;E;2-3-3-5;13
08/13/2015;M;8-1-1-7;17
08/12/2015;E;8-4-1-6;19
08/12/2015;M;1-0-1-3;05
08/11/2015;E;4-5-8-6;23
08/11/2015;M;2-5-8-7;22
08/10/2015;E;8-3-6-9;26
08/10/2015;M;5-0-1-8;14
08/09/2015;E;1-1-6-2;10
08/09/2015;M;3-0-9-6;18
08/08/2015;E;5-3-1-1;10
08/08/2015;M;8-0-1-9;18
08/07/2015;E;8-3-7-0;18
08/07/2015;M;6-3-3-0;12
08/06/2015;E;5-1-5-3;14
08/06/2015;M;2-1-7-2;12
08/05/2015;E;7-9-8-7;31
08/05/2015;M;8-3-7-0;18
08/04/2015;E;2-6-1-8;17
08/04/2015;M;5-6-8-5;24
08/03/2015;E;1-2-9-7;19
08/03/2015;M;1-7-5-1;14
08/02/2015;E;4-3-4-0;11
08/02/2015;M;2-2-5-1;10
08/01/2015;E;1-0-3-8;12
08/01/2015;M;2-6-3-6;17
07/31/2015;E;2-1-4-5;12
07/31/2015;M;1-3-6-7;17
07/30/2015;E;0-3-9-1;13
07/30/2015;M;8-0-4-5;17
07/29/2015;E;3-3-7-0;13
07/29/2015;M;7-4-7-0;18
07/28/2015;E;6-0-7-9;22
07/28/2015;M;8-1-2-5;16
07/27/2015;E;3-9-5-1;18
07/27/2015;M;6-3-6-8;23
07/26/2015;E;9-7-8-1;25
07/26/2015;M;5-2-5-1;13
07/25/2015;E;9-7-6-1;23
07/25/2015;M;7-5-4-6;22
07/24/2015;E;3-2-8-5;18
07/24/2015;M;2-8-3-0;13
07/23/2015;E;2-4-2-7;15
07/23/2015;M;4-7-4-2;17
07/22/2015;E;1-5-6-1;13
07/22/2015;M;4-1-9-6;20
07/21/2015;E;3-1-6-5;15
07/21/2015;M;7-4-6-7;24
07/20/2015;E;5-1-2-4;12
07/20/2015;M;8-3-3-2;16
07/19/2015;E;1-2-4-4;11
07/19/2015;M;6-4-7-8;25
07/18/2015;E;9-8-6-4;27
07/18/2015;M;8-3-7-6;24
07/17/2015;E;5-2-9-1;17
07/17/2015;M;6-3-3-8;20
07/16/2015;E;1-2-3-0;06
07/16/2015;M;9-8-8-8;33
07/15/2015;E;2-0-7-4;13
07/15/2015;M;3-0-0-1;04
07/14/2015;E;1-8-0-0;09
07/14/2015;M;0-2-5-3;10
07/13/2015;E;5-2-3-6;16
07/13/2015;M;7-6-0-4;17
07/12/2015;E;7-3-6-0;16
07/12/2015;M;8-3-6-1;18
07/11/2015;E;1-7-0-1;09
07/11/2015;M;8-0-3-2;13
07/10/2015;E;6-1-7-3;17
07/10/2015;M;8-5-9-6;28
07/09/2015;E;7-1-9-8;25
07/09/2015;M;9-6-0-3;18
07/08/2015;E;5-4-9-9;27
07/08/2015;M;7-3-2-2;14
07/07/2015;E;4-3-8-3;18
07/07/2015;M;5-7-5-0;17
07/06/2015;E;0-5-5-7;17
07/06/2015;M;8-2-0-1;11
07/05/2015;E;8-1-2-9;20
07/05/2015;M;1-1-4-3;09
07/04/2015;E;1-4-1-4;10
07/04/2015;M;1-8-0-8;17
07/03/2015;E;8-7-9-7;31
07/03/2015;M;2-5-5-2;14
07/02/2015;E;5-8-5-0;18
07/02/2015;M;5-4-3-2;14
07/01/2015;E;6-0-9-9;24
07/01/2015;M;8-3-8-8;27
06/30/2015;E;1-6-2-6;15
06/30/2015;M;3-4-4-9;20
06/29/2015;E;6-5-1-4;16
06/29/2015;M;6-0-9-3;18
06/28/2015;E;3-9-7-9;28
06/28/2015;M;1-1-9-8;19
06/27/2015;E;0-9-1-7;17
06/27/2015;M;8-8-4-3;23
06/26/2015;E;6-2-3-5;16
06/26/2015;M;6-1-3-2;12
06/25/2015;E;9-7-0-4;20
06/25/2015;M;1-1-5-9;16
06/24/2015;E;9-2-0-3;14
06/24/2015;M;7-5-7-9;28
06/23/2015;E;9-6-8-5;28
06/23/2015;M;7-9-6-7;29
06/22/2015;E;6-5-4-2;17
06/22/2015;M;1-7-6-4;18
06/21/2015;E;4-7-9-0;20
06/21/2015;M;7-2-0-8;17
06/20/2015;E;3-1-7-4;15
06/20/2015;M;5-5-2-5;17
06/19/2015;E;8-1-9-0;18
06/19/2015;M;0-8-4-1;13
06/18/2015;E;7-3-0-3;13
06/18/2015;M;3-5-4-7;19
06/17/2015;E;7-6-5-7;25
06/17/2015;M;8-4-3-1;16
06/16/2015;E;8-6-8-8;30
06/16/2015;M;6-6-4-0;16
06/15/2015;E;8-2-6-0;16
06/15/2015;M;3-9-4-0;16
06/14/2015;E;2-4-9-3;18
06/14/2015;M;2-6-3-4;15
06/13/2015;E;5-7-8-7;27
06/13/2015;M;7-3-6-0;16
06/12/2015;E;4-1-2-9;16
06/12/2015;M;2-1-1-8;12
06/11/2015;E;2-3-1-6;12
06/11/2015;M;4-2-6-1;13
06/10/2015;E;5-7-1-3;16
06/10/2015;M;2-1-9-6;18
06/09/2015;E;3-0-8-4;15
06/09/2015;M;4-3-0-3;10
06/08/2015;E;4-1-5-4;14
06/08/2015;M;6-1-2-8;17
06/07/2015;E;4-5-9-3;21
06/07/2015;M;9-7-0-1;17
06/06/2015;E;3-5-0-4;12
06/06/2015;M;9-3-0-8;20
06/05/2015;E;7-3-6-7;23
06/05/2015;M;9-3-5-6;23
06/04/2015;E;7-5-5-7;24
06/04/2015;M;8-3-7-3;21
06/03/2015;E;0-8-6-8;22
06/03/2015;M;3-3-6-0;12
06/02/2015;E;7-4-3-6;20
06/02/2015;M;6-5-2-7;20
06/01/2015;E;0-7-8-0;15
06/01/2015;M;0-1-6-6;13
05/31/2015;E;9-0-7-9;25
05/31/2015;M;3-3-0-8;14
05/30/2015;E;3-7-1-3;14
05/30/2015;M;8-4-4-8;24
05/29/2015;E;9-6-0-1;16
05/29/2015;M;4-0-7-2;13
05/28/2015;E;9-9-7-5;30
05/28/2015;M;4-0-0-5;09
05/27/2015;E;0-4-9-7;20
05/27/2015;M;7-7-8-3;25
05/26/2015;E;1-1-0-4;06
05/26/2015;M;7-2-6-0;15
05/25/2015;E;7-3-2-0;12
05/25/2015;M;1-2-5-9;17
05/24/2015;E;6-8-2-6;22
05/24/2015;M;4-0-2-7;13
05/23/2015;E;7-4-1-8;20
05/23/2015;M;1-1-1-3;06
05/22/2015;E;6-5-2-5;18
05/22/2015;M;8-3-6-7;24
05/21/2015;E;1-6-9-0;16
05/21/2015;M;9-2-9-6;26
05/20/2015;E;6-0-7-9;22
05/20/2015;M;6-1-1-1;09
05/19/2015;E;4-2-1-9;16
05/19/2015;M;6-2-9-7;24
05/18/2015;E;2-4-7-9;22
05/18/2015;M;1-4-7-8;20
05/17/2015;E;0-2-2-2;06
05/17/2015;M;1-2-9-5;17
05/16/2015;E;9-1-9-1;20
05/16/2015;M;3-7-9-9;28
05/15/2015;E;9-5-4-9;27
05/15/2015;M;5-3-6-7;21
05/14/2015;E;0-3-1-3;07
05/14/2015;M;4-4-7-3;18
05/13/2015;E;8-8-9-3;28
05/13/2015;M;7-5-4-1;17
05/12/2015;E;0-6-0-2;08
05/12/2015;M;8-4-7-0;19
05/11/2015;E;8-5-6-3;22
05/11/2015;M;5-6-3-9;23
05/10/2015;E;7-2-5-9;23
05/10/2015;M;4-8-9-5;26
05/09/2015;E;6-8-6-9;29
05/09/2015;M;1-9-4-1;15
05/08/2015;E;9-3-9-3;24
05/08/2015;M;8-7-0-4;19
05/07/2015;E;7-4-1-3;15
05/07/2015;M;0-2-2-8;12
05/06/2015;E;3-2-5-7;17
05/06/2015;M;9-9-0-3;21
05/05/2015;E;0-3-1-7;11
05/05/2015;M;8-8-3-4;23
05/04/2015;E;7-7-0-9;23
05/04/2015;M;0-3-1-0;04
05/03/2015;E;3-9-1-1;14
05/03/2015;M;2-6-7-2;17
05/02/2015;E;8-7-0-0;15
05/02/2015;M;4-5-0-5;14
05/01/2015;E;5-3-0-8;16
05/01/2015;M;2-8-2-6;18
04/30/2015;E;4-2-8-9;23
04/30/2015;M;3-1-6-6;16
04/29/2015;E;5-0-7-5;17
04/29/2015;M;6-3-1-7;17
04/28/2015;E;2-3-5-2;12
04/28/2015;M;8-3-6-2;19
04/27/2015;E;1-2-7-1;11
04/27/2015;M;0-5-1-8;14
04/26/2015;E;2-7-0-7;16
04/26/2015;M;3-0-8-2;13
04/25/2015;E;1-8-8-9;26
04/25/2015;M;6-4-6-6;22
04/24/2015;E;6-8-5-1;20
04/24/2015;M;8-6-6-6;26
04/23/2015;E;2-7-8-9;26
04/23/2015;M;4-0-1-9;14
04/22/2015;E;8-6-8-4;26
04/22/2015;M;9-6-1-3;19
04/21/2015;E;9-2-9-6;26
04/21/2015;M;7-0-0-5;12
04/20/2015;E;3-3-4-1;11
04/20/2015;M;8-7-1-4;20
04/19/2015;E;0-8-7-1;16
04/19/2015;M;2-9-6-9;26
04/18/2015;E;2-9-2-5;18
04/18/2015;M;0-5-4-1;10
04/17/2015;E;5-0-9-9;23
04/17/2015;M;0-9-2-7;18
04/16/2015;E;9-9-6-4;28
04/16/2015;M;2-1-7-6;16
04/15/2015;E;8-1-2-9;20
04/15/2015;M;3-3-0-8;14
04/14/2015;E;2-1-0-4;07
04/14/2015;M;5-1-0-2;08
04/13/2015;E;3-8-7-1;19
04/13/2015;M;0-8-8-8;24
04/12/2015;E;8-9-0-9;26
04/12/2015;M;9-4-8-1;22
04/11/2015;E;0-5-8-5;18
04/11/2015;M;0-4-6-1;11
04/10/2015;E;8-6-7-7;28
04/10/2015;M;5-8-8-1;22
04/09/2015;E;1-7-1-1;10
04/09/2015;M;0-0-4-6;10
04/08/2015;E;3-8-3-4;18
04/08/2015;M;3-6-6-6;21
04/07/2015;E;0-4-4-8;16
04/07/2015;M;5-5-2-1;13
04/06/2015;E;4-5-4-6;19
04/06/2015;M;0-4-0-8;12
04/05/2015;E;5-6-4-5;20
04/05/2015;M;4-4-5-3;16
04/04/2015;E;4-4-0-3;11
04/04/2015;M;0-5-5-3;13
04/03/2015;E;7-8-4-8;27
04/03/2015;M;8-3-4-8;23
04/02/2015;E;1-5-0-7;13
04/02/2015;M;6-7-3-6;22
04/01/2015;E;6-2-2-1;11
04/01/2015;M;6-2-4-8;20
03/31/2015;E;6-3-7-0;16
03/31/2015;M;8-5-6-6;25
03/30/2015;E;7-1-9-5;22
03/30/2015;M;4-3-1-7;15
03/29/2015;E;1-2-1-2;06
03/29/2015;M;1-9-7-4;21
03/28/2015;E;0-4-9-4;17
03/28/2015;M;9-2-9-4;24
03/27/2015;E;1-6-0-1;08
03/27/2015;M;5-1-8-8;22
03/26/2015;E;1-0-6-8;15
03/26/2015;M;5-8-8-6;27
03/25/2015;E;5-6-1-5;17
03/25/2015;M;4-5-2-4;15
03/24/2015;E;6-4-3-6;19
03/24/2015;M;2-7-4-4;17
03/23/2015;E;3-0-5-7;15
03/23/2015;M;6-3-5-8;22
03/22/2015;E;6-3-0-5;14
03/22/2015;M;4-3-1-8;16
03/21/2015;E;9-3-5-4;21
03/21/2015;M;8-5-1-5;19
03/20/2015;E;5-9-3-8;25
03/20/2015;M;6-7-5-9;27
