4143;2015-10-04;À;1;3;8;2;4;0;37;500;160;85;
4142;2015-10-03;Á;2;4;3;3;4;22;0;500;160;85;
4141;2015-10-02;Á;1;1;1;4;21;21;0;500;160;85;
4140;2015-10-01;À;1;1;8;2;11;0;24;500;160;85;
4139;2015-09-30;À;2;7;3;4;16;0;86;500;160;85;
4138;2015-09-29;Á;1;0;4;7;5;0;24;500;160;85;
4137;2015-09-28;À;2;3;0;7;5;0;31;500;160;85;
4136;2015-09-27;À;2;4;1;7;9;0;28;500;160;85;
4135;2015-09-26;À;2;8;5;5;13;20;0;500;160;85;
4134;2015-09-25;À;1;3;0;3;30;26;0;500;160;85;
4133;2015-09-24;Á;1;8;9;2;1;0;20;500;160;85;
4132;2015-09-23;Á;1;8;9;3;0;0;11;500;160;85;
4131;2015-09-22;Á;1;5;1;7;1;0;40;500;160;85;
4130;2015-09-21;Á;2;0;5;9;5;0;22;500;160;85;
4129;2015-09-20;Á;2;5;2;4;12;0;53;500;160;85;
4128;2015-09-19;Á;2;0;9;8;34;0;120;500;160;85;
4127;2015-09-18;Á;2;5;6;5;22;40;0;500;160;85;
4126;2015-09-17;À;2;3;1;2;8;0;70;500;160;85;
4125;2015-09-16;Á;1;7;6;3;41;0;88;500;160;85;
4124;2015-09-15;Á;2;3;2;3;2;19;0;500;160;85;
4123;2015-09-14;À;1;4;3;1;3;0;36;500;160;85;
4122;2015-09-13;À;2;3;2;1;12;0;80;500;160;85;
4121;2015-09-12;À;1;6;3;9;27;0;87;500;160;85;
4120;2015-09-11;À;1;7;9;4;8;0;27;500;160;85;
4119;2015-09-10;À;2;7;1;8;22;0;22;500;160;85;
4118;2015-09-09;Á;1;4;5;3;5;0;54;500;160;85;
4117;2015-09-08;Á;1;4;0;9;2;0;19;500;160;85;
4116;2015-09-07;Á;1;1;0;5;12;0;38;500;160;85;
4115;2015-09-06;Á;2;6;4;1;8;0;39;500;160;85;
4114;2015-09-05;Á;1;2;2;5;3;15;0;500;160;85;
4113;2015-09-04;Á;2;0;3;6;3;0;12;500;160;85;
4112;2015-09-03;Á;2;9;5;0;61;0;10;500;160;85;
4111;2015-09-02;Á;2;1;4;3;4;0;38;500;160;85;
4110;2015-09-01;Á;2;0;9;4;12;0;33;500;160;85;
4109;2015-08-31;À;1;2;0;4;8;0;29;500;160;85;
4108;2015-08-30;Á;2;4;6;3;7;0;36;500;160;85;
4107;2015-08-29;Á;1;7;3;5;17;0;70;500;160;85;
4106;2015-08-28;Á;2;3;0;6;12;0;26;500;160;85;
4105;2015-08-27;Á;2;0;7;7;10;16;0;500;160;85;
4104;2015-08-26;Á;1;2;2;6;2;9;0;500;160;85;
4103;2015-08-25;Á;2;7;9;0;4;0;37;500;160;85;
4102;2015-08-24;A;2;2;7;0;5;0;147;500;160;85;
4101;2015-08-23;À;2;8;6;7;4;0;66;500;160;85;
4100;2015-08-22;À;2;4;6;6;12;33;0;500;160;85;
4099;2015-08-21;Á;1;9;4;1;6;0;60;500;160;85;
4098;2015-08-20;À;2;7;7;6;8;10;0;500;160;85;
4097;2015-08-19;Á;1;3;6;3;9;32;0;500;160;85;
4096;2015-08-18;À;1;4;5;8;9;0;42;500;160;85;
4095;2015-08-17;À;1;1;9;5;10;0;26;500;160;85;
4094;2015-08-16;Á;1;9;2;5;24;0;21;500;160;85;
4093;2015-08-15;À;2;0;9;2;2;0;25;500;160;85;
4092;2015-08-14;À;1;3;2;3;4;21;0;500;160;85;
4091;2015-08-13;Á;2;8;3;7;8;0;43;500;160;85;
4090;2015-08-12;Á;1;2;8;2;13;16;0;500;160;85;
4089;2015-08-11;Á;1;9;7;1;3;0;38;500;160;85;
4088;2015-08-10;À;2;7;7;7;209;0;0;500;160;85;
4087;2015-08-09;À;2;0;6;9;4;0;24;500;160;85;
4086;2015-08-08;À;2;0;5;0;9;7;0;500;160;85;
4085;2015-08-07;À;2;4;6;4;3;18;0;500;160;85;
4084;2015-08-06;Á;2;7;9;4;3;0;25;500;160;85;
4083;2015-08-05;À;2;0;1;8;7;0;45;500;160;85;
4082;2015-08-04;À;1;1;7;1;54;34;0;500;160;85;
4081;2015-08-03;À;2;1;5;9;7;0;23;500;160;85;
4080;2015-08-02;À;2;3;4;8;2;0;56;500;160;85;
4079;2015-08-01;À;1;3;4;3;8;18;0;500;160;85;
4078;2015-07-31;À;2;5;4;4;18;22;0;500;160;85;
4077;2015-07-30;Á;1;7;8;9;28;0;67;500;160;85;
4076;2015-07-29;À;2;4;6;3;7;0;41;500;160;85;
4075;2015-07-28;Á;1;1;4;0;14;0;31;500;160;85;
4074;2015-07-27;Á;1;2;7;5;6;0;51;500;160;85;
4073;2015-07-26;Á;1;9;9;9;136;0;0;500;160;85;
4072;2015-07-25;Á;1;2;5;9;9;0;44;500;160;85;
4071;2015-07-24;À;2;4;9;4;19;31;0;500;160;85;
4070;2015-07-23;À;2;8;6;7;6;0;61;500;160;85;
4069;2015-07-22;À;1;6;0;1;8;0;27;500;160;85;
4068;2015-07-21;Á;1;6;2;0;6;0;37;500;160;85;
4067;2015-07-20;À;2;0;3;2;23;0;53;500;160;85;
4066;2015-07-19;Á;2;4;5;1;12;0;20;500;160;85;
4065;2015-07-18;Á;2;1;2;9;10;0;32;500;160;85;
4064;2015-07-17;À;1;7;1;0;13;0;40;500;160;85;
4063;2015-07-16;À;1;9;7;4;6;0;59;500;160;85;
4062;2015-07-15;À;2;9;4;6;5;0;35;500;160;85;
4061;2015-07-14;À;1;5;6;8;11;0;49;500;160;85;
4060;2015-07-13;Á;2;9;5;3;6;0;38;500;160;85;
4059;2015-07-12;Á;2;5;9;6;18;0;35;500;160;85;
4058;2015-07-11;À;1;2;0;4;8;0;55;500;160;85;
4057;2015-07-10;À;1;0;0;2;11;11;0;500;160;85;
4056;2015-07-09;À;2;4;0;5;1;0;31;500;160;85;
